Linux 5.15.0-170-generic (gercom) 	02/28/26 	_x86_64_	(8 CPU)

20:04:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:04:28        all     14.05      0.00      3.01      0.00      0.00     82.94
20:04:29        all     19.10      0.00      2.14      0.00      0.00     78.77
20:04:30        all      0.38      0.00      0.38      0.00      0.00     99.24
20:04:31        all      0.38      0.00      0.38      0.00      0.00     99.25
20:04:32        all      0.75      0.00      0.25      0.13      0.00     98.87
20:04:33        all     18.24      0.00      4.53      0.25      0.00     76.98
20:04:34        all     28.89      0.00      3.52      0.00      0.00     67.59
20:04:35        all     29.88      0.00      4.25      0.00      0.00     65.88
20:04:36        all     43.60      0.00     10.74      1.55      0.00     44.11
20:04:37        all     38.93      0.00     13.15      7.68      0.00     40.23
20:04:38        all     45.01      0.00     15.30      5.19      0.00     34.50
20:04:39        all     41.73      0.00     15.90      3.94      0.00     38.42
20:04:40        all     49.28      0.00     18.56      2.88      0.00     29.28
20:04:41        all     46.93      0.00     15.16      5.10      0.00     32.81
20:04:42        all     49.15      0.00     18.08      3.90      0.00     28.87
20:04:43        all     50.06      0.00     16.95      2.85      0.00     30.14
20:04:44        all     52.52      0.00     16.30      2.98      0.00     28.20
20:04:45        all     52.13      0.00     18.19      2.32      0.00     27.35
20:04:46        all     50.96      0.00     17.24      3.45      0.00     28.35
20:04:47        all     43.90      0.00     16.75      6.62      0.00     32.73
20:04:48        all     51.28      0.00     17.22      2.93      0.00     28.57
20:04:49        all     49.10      0.00     17.44      4.01      0.00     29.46
20:04:50        all     49.80      0.00     18.86      2.47      0.00     28.87
20:04:51        all     48.65      0.00     17.63      2.57      0.00     31.15
20:04:52        all     25.03      0.00     11.42      2.18      0.00     61.36
20:04:53        all      1.64      0.00      1.13      0.00      0.00     97.23
20:04:54        all      5.30      0.00      3.03      0.38      0.00     91.29
20:04:55        all      1.24      0.00      1.49      0.00      0.00     97.26
20:04:56        all      3.39      0.00      1.13      0.75      0.00     94.72
20:04:57        all      1.37      0.00      1.50      0.00      0.00     97.13
20:04:58        all     21.65      0.00      4.56      0.00      0.00     73.80
20:04:59        all     27.66      0.00      3.50      0.00      0.00     68.84
20:05:00        all     31.14      0.00      4.18      0.00      0.00     64.68
20:05:01        all     21.57      0.00      6.47      0.00      0.00     71.95
20:05:02        all     15.17      0.00      5.82      0.00      0.00     79.01
20:05:03        all     13.72      0.00      5.08      0.00      0.00     81.19
20:05:04        all     14.39      0.00      5.22      0.00      0.00     80.38
20:05:05        all     12.86      0.00      5.55      0.00      0.00     81.59
20:05:06        all     12.63      0.00      4.21      0.00      0.00     83.16
20:05:07        all     11.58      0.00      5.09      0.13      0.00     83.21
20:05:08        all     13.22      0.00      3.21      0.00      0.00     83.57
20:05:09        all     13.15      0.00      3.83      0.00      0.00     83.01
20:05:10        all     12.05      0.00      4.10      0.00      0.00     83.85
20:05:11        all     10.68      0.00      4.89      0.13      0.00     84.30
20:05:12        all     13.38      0.00      3.73      0.00      0.00     82.88
20:05:13        all     11.47      0.00      3.74      0.13      0.00     84.66
20:05:14        all     13.68      0.00      5.12      0.00      0.00     81.20
20:05:15        all     14.25      0.00      4.49      0.00      0.00     81.26
20:05:16        all     12.34      0.00      4.63      0.00      0.00     83.03
20:05:17        all     10.61      0.00      4.48      0.00      0.00     84.91
20:05:18        all     12.10      0.00      4.33      0.00      0.00     83.57
20:05:19        all     11.72      0.00      4.59      0.00      0.00     83.69
20:05:20        all      6.84      0.00      3.17      0.00      0.00     89.99
20:05:21        all      2.76      0.00      3.01      0.13      0.00     94.10
20:05:22        all     24.02      0.00      3.79      0.00      0.00     72.19
20:05:23        all     29.38      0.00      2.27      0.00      0.00     68.35
20:05:24        all     32.35      0.00      6.78      0.51      0.00     60.36
20:05:25        all     43.14      0.00     15.95      2.75      0.00     38.17
20:05:26        all     43.76      0.00     15.90      3.68      0.00     36.66
20:05:27        all     41.23      0.00     14.53      4.45      0.00     39.79
20:05:28        all     36.98      0.00     14.43      3.87      0.00     44.72
20:05:29        all     46.72      0.00     18.64      3.28      0.00     31.36
20:05:30        all     47.23      0.00     18.47      2.64      0.00     31.66
20:05:31        all     45.03      0.00     21.55      3.35      0.00     30.06
20:05:32        all     47.29      0.00     20.54      2.97      0.00     29.20
20:05:33        all     27.84      0.00     16.76      0.95      0.00     54.46
20:05:34        all     24.66      0.00     11.80      0.00      0.00     63.54
20:05:35        all     25.80      0.00     14.17      0.67      0.13     59.22
20:05:36        all     22.06      0.00     13.50      0.00      0.00     64.44
20:05:37        all     24.40      0.00     13.54      0.80      0.13     61.13
