Linux 5.15.0-170-generic (gercom) 	02/28/26 	_x86_64_	(8 CPU)

19:59:35        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:59:36        all     14.43      0.00      2.51      0.00      0.00     83.06
19:59:37        all     18.62      0.00      2.39      0.00      0.00     78.99
19:59:38        all      0.50      0.00      0.38      0.13      0.00     98.99
19:59:39        all      0.25      0.00      0.38      0.00      0.13     99.25
19:59:40        all      0.38      0.00      0.00      0.00      0.00     99.62
19:59:41        all     18.62      0.00      5.28      0.00      0.00     76.10
19:59:42        all     29.89      0.00      3.91      0.00      0.00     66.20
19:59:43        all     35.93      0.00      3.02      0.00      0.00     61.06
19:59:44        all     39.75      0.00     11.45      1.26      0.00     47.55
19:59:45        all     46.78      0.00     16.37      3.74      0.00     33.12
19:59:46        all     45.71      0.00     16.01      3.46      0.00     34.83
19:59:47        all     47.52      0.00     18.22      3.82      0.00     30.45
19:59:48        all     51.43      0.00     16.67      3.12      0.00     28.78
19:59:49        all     51.03      0.00     18.73      2.07      0.00     28.17
19:59:50        all     37.86      0.00     13.82     11.89      0.00     36.43
19:59:51        all     53.38      0.00     19.92      2.30      0.00     24.39
19:59:52        all     53.41      0.00     16.40      3.54      0.00     26.64
19:59:53        all     41.84      0.00     17.47      7.40      0.00     33.29
19:59:54        all     54.11      0.00     18.90      2.22      0.13     24.64
19:59:55        all     52.36      0.00     18.90      2.49      0.13     26.12
19:59:56        all     50.00      0.00     20.39      2.63      0.00     26.97
19:59:57        all     53.12      0.00     19.79      2.21      0.00     24.87
19:59:58        all     51.11      0.00     19.61      3.01      0.00     26.27
19:59:59        all     50.46      0.00     19.90      2.47      0.13     27.05
20:00:00        all     46.43      0.00     20.37      2.51      0.00     30.69
20:00:01        all     10.79      0.00      7.02      0.00      0.00     82.18
20:00:02        all     16.19      0.00      9.14      0.39      0.00     74.28
20:00:03        all     10.42      0.00      7.94      0.13      0.00     81.51
20:00:04        all     10.94      0.00      6.44      0.90      0.00     81.72
20:00:05        all      7.60      0.00      3.17      0.89      0.00     88.34
20:00:06        all      0.63      0.00      0.88      0.00      0.00     98.50
20:00:07        all      4.12      0.00      2.62      0.50      0.00     92.76
20:00:08        all      8.16      0.00      3.64      0.00      0.00     88.21
20:00:09        all     29.18      0.00      3.40      0.00      0.00     67.42
20:00:10        all     31.29      0.00      3.13      0.00      0.00     65.58
20:00:11        all     29.67      0.00      6.52      0.00      0.00     63.81
20:00:12        all     17.41      0.00      5.84      0.00      0.00     76.75
20:00:13        all     16.17      0.00      5.52      0.00      0.00     78.31
20:00:14        all     16.24      0.00      4.90      0.26      0.00     78.61
20:00:15        all     13.37      0.00      4.79      0.00      0.00     81.84
20:00:16        all     11.35      0.00      4.46      0.00      0.00     84.18
20:00:17        all     13.23      0.00      4.71      0.00      0.00     82.06
20:00:18        all     14.23      0.00      4.87      0.00      0.00     80.90
20:00:19        all     14.23      0.00      4.19      0.00      0.00     81.58
20:00:20        all     12.63      0.00      4.34      0.00      0.00     83.04
20:00:21        all     12.93      0.00      4.61      0.13      0.00     82.33
20:00:22        all     13.65      0.00      4.72      0.00      0.00     81.63
20:00:23        all     13.87      0.00      5.09      0.00      0.00     81.04
20:00:24        all     13.78      0.00      5.06      0.00      0.00     81.16
20:00:25        all     12.87      0.00      4.46      0.00      0.00     82.68
20:00:26        all     12.88      0.00      4.46      0.00      0.00     82.65
20:00:27        all     12.67      0.00      4.77      0.13      0.00     82.43
20:00:28        all     14.52      0.00      5.81      0.00      0.00     79.67
20:00:29        all     12.63      0.00      3.87      0.00      0.00     83.51
20:00:30        all     13.15      0.00      4.09      0.00      0.00     82.76
20:00:31        all      3.26      0.00      1.50      0.00      0.00     95.24
20:00:32        all     16.31      0.00      4.64      0.13      0.00     78.92
20:00:33        all     28.68      0.00      2.64      0.00      0.00     68.68
20:00:34        all     31.12      0.00      3.39      0.00      0.00     65.50
20:00:35        all     38.98      0.00     12.65      1.96      0.00     46.41
20:00:36        all     43.66      0.00     16.02      3.07      0.00     37.25
20:00:37        all     44.94      0.00     16.16      2.76      0.00     36.14
20:00:38        all     39.27      0.00     13.52      3.77      0.00     43.43
20:00:39        all     41.60      0.00     15.50      3.75      0.00     39.15
20:00:40        all     42.39      0.00     15.34      3.12      0.00     39.14
20:00:41        all     38.72      0.00     15.12      2.61      0.00     43.55
20:00:42        all     35.96      0.00     15.25      4.32      0.00     44.47
20:00:43        all     20.82      0.00      7.20      1.67      0.00     70.31
20:00:44        all      1.38      0.00      1.13      0.00      0.00     97.49
20:00:45        all      4.45      0.00      1.78      0.76      0.00     93.01
20:00:46        all      0.76      0.00      0.38      0.00      0.00     98.87
20:00:47        all      2.38      0.00      2.12      0.62      0.00     94.88
20:00:48        all      1.74      0.00      1.99      0.00      0.00     96.27
