Linux 5.15.0-170-generic (gercom) 	02/28/26 	_x86_64_	(8 CPU)

20:12:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:12:28        all     14.48      0.00      1.89      0.63      0.00     83.00
20:12:29        all     17.04      0.00      2.99      0.00      0.00     79.98
20:12:30        all      0.63      0.00      0.50      0.00      0.00     98.87
20:12:31        all      0.63      0.00      0.00      0.00      0.00     99.37
20:12:32        all      0.38      0.00      0.38      0.00      0.00     99.25
20:12:33        all     16.44      0.00      4.64      0.75      0.00     78.17
20:12:34        all     28.00      0.00      4.62      0.12      0.00     67.25
20:12:35        all     34.21      0.00      3.26      0.00      0.00     62.53
20:12:36        all     40.95      0.00     10.78      1.16      0.00     47.11
20:12:37        all     46.30      0.00     16.71      2.93      0.13     33.93
20:12:38        all     48.11      0.00     15.51      3.65      0.13     32.59
20:12:39        all     46.55      0.00     16.78      2.73      0.00     33.94
20:12:40        all     49.03      0.00     17.77      2.98      0.00     30.22
20:12:41        all     49.15      0.00     18.64      3.91      0.00     28.29
20:12:42        all     50.39      0.00     19.34      2.37      0.00     27.89
20:12:43        all     47.22      0.00     19.02      4.66      0.00     29.11
20:12:44        all     35.72      0.00     12.26     11.21      0.00     40.81
20:12:45        all     52.43      0.00     19.95      2.43      0.13     25.06
20:12:46        all     51.65      0.00     20.08      3.43      0.00     24.83
20:12:47        all     52.26      0.00     20.05      3.62      0.00     24.06
20:12:48        all     50.00      0.00     21.99      2.88      0.00     25.13
20:12:49        all     49.54      0.00     19.48      4.58      0.00     26.41
20:12:50        all     50.46      0.00     20.16      2.86      0.13     26.40
20:12:51        all     52.41      0.00     20.47      2.48      0.00     24.64
20:12:52        all     54.58      0.00     18.71      1.94      0.00     24.77
20:12:53        all     31.42      0.00     17.44      1.07      0.00     50.07
20:12:54        all     22.54      0.00     13.63      0.00      0.13     63.70
20:12:55        all     25.57      0.00     14.94      0.67      0.00     58.82
20:12:56        all     22.31      0.00     13.55      0.00      0.00     64.14
20:12:57        all     23.86      0.00     14.88      0.67      0.00     60.59
20:12:58        all     24.16      0.00     11.47      0.00      0.00     64.37
20:12:59        all     22.88      0.00     12.38      1.88      0.00     62.85
20:13:00        all     19.61      0.00     11.84      0.66      0.00     67.89
20:13:01        all     30.48      0.00     11.71      0.63      0.00     57.18
20:13:02        all     38.37      0.00      7.36      0.26      0.00     54.01
20:13:03        all     39.53      0.00      8.91      0.00      0.00     51.55
20:13:04        all     33.77      0.00     10.73      0.00      0.00     55.50
20:13:05        all     24.05      0.00     10.33      0.00      0.00     65.62
20:13:06        all     21.70      0.00     10.33      0.00      0.00     67.97
20:13:07        all     21.11      0.00     11.45      0.00      0.13     67.31
20:13:08        all     24.61      0.00      8.68      0.00      0.00     66.71
20:13:09        all     22.35      0.00     10.98      0.00      0.00     66.67
20:13:10        all     23.98      0.00      8.65      0.13      0.00     67.23
20:13:11        all     19.79      0.00      9.50      0.00      0.00     70.71
20:13:12        all     23.76      0.00      8.62      0.00      0.00     67.62
20:13:13        all     23.14      0.00     10.20      0.00      0.00     66.67
20:13:14        all     21.14      0.00      8.17      1.17      0.00     69.52
20:13:15        all     15.62      0.00      4.87      0.26      0.00     79.26
20:13:16        all     13.40      0.00      4.42      0.00      0.00     82.17
20:13:17        all     11.96      0.00      5.04      0.00      0.00     83.00
20:13:18        all     12.18      0.00      3.46      0.00      0.00     84.36
20:13:19        all     14.01      0.00      4.08      0.00      0.00     81.91
20:13:20        all     11.68      0.00      4.44      0.00      0.00     83.88
20:13:21        all     12.84      0.00      3.98      0.00      0.00     83.18
20:13:22        all     11.35      0.00      4.34      0.00      0.00     84.31
20:13:23        all      8.98      0.00      3.79      0.00      0.00     87.23
20:13:24        all      1.64      0.00      1.64      0.00      0.00     96.73
20:13:25        all     22.74      0.00      4.96      0.00      0.00     72.30
20:13:26        all     32.16      0.00      2.77      0.00      0.00     65.07
20:13:27        all     34.52      0.00      4.84      0.00      0.00     60.64
20:13:28        all     40.78      0.00     13.86      2.88      0.00     42.48
20:13:29        all     42.53      0.00     15.08      5.54      0.00     36.86
20:13:30        all     43.32      0.00     15.97      3.01      0.00     37.70
20:13:31        all     39.74      0.00     16.45      2.89      0.00     40.92
20:13:32        all     38.89      0.00     14.99      3.23      0.00     42.89
20:13:33        all     38.13      0.00     14.38      3.21      0.00     44.29
20:13:34        all     41.78      0.00     16.97      3.39      0.00     37.86
20:13:35        all     43.50      0.00     16.95      3.42      0.00     36.14
20:13:36        all     20.83      0.00     11.38      1.29      0.00     66.49
20:13:37        all      9.21      0.00      7.39      0.00      0.00     83.40
20:13:38        all     13.11      0.00      9.04      0.79      0.00     77.06
20:13:39        all     10.77      0.00      8.04      0.00      0.00     81.19
20:13:40        all     11.85      0.00      8.33      0.52      0.00     79.30
