Linux 5.15.0-170-generic (gercom) 	02/28/26 	_x86_64_	(8 CPU)

20:01:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:01:13        all     14.52      0.00      2.27      0.13      0.00     83.08
20:01:14        all     20.25      0.00      2.73      0.00      0.00     77.02
20:01:15        all      0.87      0.00      1.12      0.00      0.00     98.01
20:01:16        all      0.38      0.00      0.38      0.00      0.00     99.24
20:01:17        all      0.50      0.00      0.00      0.00      0.00     99.50
20:01:18        all     18.35      0.00      4.56      0.00      0.00     77.09
20:01:19        all     30.24      0.00      3.39      0.00      0.00     66.37
20:01:20        all     32.95      0.00      3.79      0.00      0.00     63.26
20:01:21        all     42.58      0.00     11.59      1.04      0.00     44.79
20:01:22        all     51.22      0.00     17.25      2.57      0.00     28.96
20:01:23        all     47.96      0.00     18.32      2.80      0.00     30.92
20:01:24        all     50.26      0.00     18.96      2.47      0.00     28.31
20:01:25        all     34.32      0.00     12.85     12.47      0.00     40.36
20:01:26        all     44.16      0.00     16.82      3.34      0.00     35.69
20:01:27        all     49.30      0.00     15.75      2.82      0.00     32.14
20:01:28        all     49.21      0.00     18.59      2.88      0.00     29.32
20:01:29        all     52.87      0.00     17.71      2.68      0.00     26.75
20:01:30        all     49.55      0.00     18.01      2.55      0.00     29.89
20:01:31        all     47.46      0.00     16.51      3.51      0.00     32.51
20:01:32        all     49.28      0.00     19.84      2.50      0.00     28.38
20:01:33        all     50.57      0.00     18.39      2.55      0.00     28.48
20:01:34        all     49.67      0.00     16.21      3.40      0.00     30.72
20:01:35        all     40.36      0.00     13.15      6.90      0.00     39.58
20:01:36        all     39.54      0.00     16.05      4.62      0.00     39.79
20:01:37        all     39.45      0.00     14.15      2.88      0.00     43.51
20:01:38        all      0.88      0.00      1.13      0.00      0.00     97.99
20:01:39        all      4.05      0.00      2.91      0.63      0.00     92.41
20:01:40        all      1.25      0.00      1.12      0.00      0.00     97.63
20:01:41        all      1.91      0.00      1.52      0.38      0.00     96.19
20:01:42        all      2.00      0.00      1.25      0.00      0.00     96.75
20:01:43        all     15.80      0.00      3.41      0.00      0.00     80.78
20:01:44        all     31.14      0.00      3.42      0.00      0.00     65.44
20:01:45        all     35.72      0.00      3.52      0.00      0.00     60.75
20:01:46        all     26.70      0.00      6.55      0.00      0.00     66.75
20:01:47        all     12.92      0.00      4.01      0.00      0.00     83.07
20:01:48        all     12.71      0.00      5.01      0.00      0.00     82.28
20:01:49        all     14.86      0.00      4.78      0.00      0.00     80.36
20:01:50        all     12.84      0.00      3.24      0.00      0.00     83.92
20:01:51        all     11.48      0.00      3.70      0.26      0.00     84.57
20:01:52        all     13.57      0.00      3.10      0.00      0.00     83.33
20:01:53        all     13.68      0.00      4.52      0.00      0.00     81.81
20:01:54        all     13.53      0.00      3.48      0.00      0.00     82.99
20:01:55        all     13.18      0.00      4.52      0.00      0.00     82.30
20:01:56        all     11.10      0.00      5.36      0.00      0.00     83.55
20:01:57        all     14.08      0.00      4.61      0.00      0.00     81.31
20:01:58        all     11.48      0.00      3.83      0.00      0.00     84.69
20:01:59        all     11.45      0.00      4.38      0.00      0.00     84.17
20:02:00        all     12.24      0.00      3.99      0.13      0.00     83.63
20:02:01        all     12.94      0.00      5.05      0.00      0.00     82.02
20:02:02        all     13.38      0.00      4.76      0.00      0.00     81.85
20:02:03        all     12.50      0.00      4.72      0.00      0.00     82.78
20:02:04        all     13.78      0.00      4.72      0.00      0.00     81.51
20:02:05        all      9.38      0.00      4.31      0.00      0.00     86.31
20:02:06        all      0.88      0.00      2.02      0.00      0.00     97.10
20:02:07        all     21.97      0.00      4.37      0.00      0.00     73.66
20:02:08        all     31.11      0.00      2.77      0.00      0.00     66.12
20:02:09        all     33.04      0.00      3.54      0.00      0.00     63.42
20:02:10        all     38.52      0.00     15.30      3.76      0.00     42.41
20:02:11        all     40.13      0.00     15.42      3.14      0.00     41.31
20:02:12        all     42.78      0.00     14.70      4.33      0.00     38.19
20:02:13        all     44.59      0.00     16.95      2.74      0.00     35.72
20:02:14        all     41.35      0.00     13.74      5.02      0.00     39.89
20:02:15        all     40.08      0.00     11.70      5.39      0.00     42.84
20:02:16        all     40.56      0.00     14.89      3.21      0.00     41.34
20:02:17        all     31.82      0.00     10.78      8.96      0.00     48.44
20:02:18        all     22.86      0.00      9.83      2.43      0.00     64.88
20:02:19        all      1.50      0.00      1.00      0.00      0.13     97.37
20:02:20        all      3.68      0.00      2.53      0.38      0.00     93.41
20:02:21        all      0.50      0.00      0.63      0.00      0.00     98.87
20:02:22        all      3.39      0.00      1.51      0.88      0.00     94.22
20:02:23        all      1.76      0.00      0.75      0.00      0.00     97.49
20:02:24        all      3.28      0.00      2.14      0.38      0.13     94.07
20:02:25        all      1.87      0.00      1.75      0.00      0.00     96.38
